ID,Latitude,Longitude,number,formatted_ID
p01,4.502599657908322,7.674508306300545,1,P1
p02,4.502438641215479,7.677181107010743,2,P2
p03,4.502419703618411,7.676567359013838,3,P3
p04,4.502442626889736,7.676004506699721,4,P4
p05,4.502376695528404,7.675486573885903,5,P5
p06,4.502382618086242,7.674992608491595,6,P6
p07,4.502335863475606,7.674544827172771,7,P7
p08,4.502259188126507,7.674202812969253,8,P8
p09,4.502290986134286,7.67386525382136,9,P9
p010,4.502304477459079,7.67355010568779,10,P10
p011,4.502362157517777,7.673268497358494,11,P11
p012,4.50233115207413,7.672937316651536,12,P12
p013,4.502152449970803,7.672306975327318,13,P13
p14,4.502174230860165,7.6719782693276,14,P14
p015,4.502182724888105,7.671390666987394,15,P15
p016,4.502205552559538,7.670949976539541,16,P16
p017,4.502257861498832,7.670719969736757,17,P17
p018,4.50230002250151,7.670493371561413,18,P18
p019,4.502400231271316,7.67036147017536,19,P19
p020,4.502510989579299,7.670183507340771,20,P20
p021,4.502698709384481,7.670032477026636,21,P21
p022,4.502802578135994,7.669946400113059,22,P22
p023,4.502905498745321,7.669853492534269,23,P23
p024,4.502957058708277,7.669787969092376,24,P24
p025,4.50316951160465,7.670018209354293,25,P25
p026,4.503445278787402,7.670172744573454,26,P26
p027,4.503659908498466,7.670403661216141,27,P27
p028,4.503913336316746,7.670564177833199,28,P28
p29,4.504490284155872,7.670902153780208,29,P29
p29,4.50426832184608,7.670693793080654,29,P29
p30,4.504608269892014,7.671184022709325,30,P30
p31,4.504851426335533,7.671390353644822,31,P31
p32,4.504680860455273,7.672572426809234,32,P32
p35,4.501160106686019,7.669065623878053,35,P35
p36,4.501262042587483,7.668546542379849,36,P36
p37,4.501806789842474,7.668464398455905,37,P37
p38,4.502400847136134,7.668181259748086,38,P38
p39,4.502340458826435,7.667888762357897,39,P39
p40,4.502333518637172,7.66759385237894,40,P40
p41,4.50241870160102,7.668492615124927,41,P41
p42,4.502437370079787,7.668759870731372,42,P42
p43,4.502689402625972,7.669701397499022,43,P43
p44,4.502544408438132,7.669517808154376,44,P44
p45,4.502461107765596,7.669303711616937,45,P45
p46,4.502436514411801,7.669042057945388,46,P46
p47,4.503199562232312,7.669023187672204,47,P47
p48,4.504147188365461,7.668928806192891,48,P48
p49,4.502669825286461,7.667597975197687,49,P49
p50,4.502331034239335,7.667210079810616,50,P50
p51,4.502483082967562,7.666950197009896,51,P51
p52,4.502599962543267,7.666725961827215,52,P52
p53,4.502863610313803,7.666554913843758,53,P53
p54,4.503146552993265,7.666640251201118,54,P54
p55,4.503460387509074,7.666732374954943,55,P55
p56,4.503713432175171,7.666913999184759,56,P56
p57,4.503930906899916,7.667156672637652,57,P57
p58,4.504094408155439,7.667407951249889,58,P58
p59,4.504264257571442,7.667628090023999,59,P59
p60,4.5044580018879,7.667852901210306,60,P60
p61,4.504654167264153,7.668041753092059,61,P61
p62,4.504925322296624,7.668291281770518,62,P62
p63,4.50514840673562,7.668537017968909,63,P63
p64,4.505190298581508,7.668871017150041,64,P64
p65,4.505311905391025,7.669151670730456,65,P65
