ID,Latitude,Longitude,number,formatted_ID
E,-0.22936042230825,34.14719391226483,0,E
E,-0.2320493222695057,34.14996810558212,0,E
E,-0.231838746197935,34.1503925547107,0,E
E,-0.232144569665288,34.15013188207858,0,E
E,-0.2315876427880721,34.14904794306167,0,E
E,-0.2313735079062547,34.1496019184013,0,E
E,-0.2318132709451425,34.14949373962062,0,E
E,-0.2317904947515226,34.14924689619527,0,E
E,-0.2313784140939612,34.14927195477494,0,E
E,-0.2311472549413038,34.14934797724004,0,E
E,-0.2312602678729613,34.15007339351557,0,E
E,-0.2309282764543078,34.14992106379369,0,E
E,-0.2287592692126091,34.14834953272479,0,E
E,-0.2284942281785032,34.14876500809516,0,E
E,-0.228470991929514,34.14915806566881,0,E
E,-0.2297220871473646,34.14856729214417,0,E
E,-0.2324659175276544,34.1501020790158,0,E
E,-0.2305318642749386,34.14949343438535,0,E
E,-0.2321858023623628,34.14919207157995,0,E
E,-0.2317143841646314,34.14843637430312,0,E
E,-0.2362158152611604,34.14707135200663,0,E
E,-0.2346006861005989,34.14803568087498,0,E
E,-0.2345805234054928,34.14867301391857,0,E
E,-0.2338291132754753,34.14795130880579,0,E
E,-0.2337378268720151,34.14675456523881,0,E
E,-0.2344426837323752,34.14686751347765,0,E
E,-0.2330802854751779,34.14803084005933,0,E
E,-0.2341084151549807,34.15020511549851,0,E
E,-0.2340579973909873,34.14972245510951,0,E
E,-0.2326898600958576,34.14992974303743,0,E
E,-0.2323877585877641,34.14896671170204,0,E
E,-0.2327033707267917,34.14916091445056,0,E
E,-0.2309648652700447,34.14675519440588,0,E
E,-0.2326641338031965,34.14733182233037,0,E
E,-0.2319496070556457,34.14735097993356,0,E
E,-0.2323101687958149,34.14946685398485,0,E
E,-0.235561519734093,34.14691447461457,0,E
P1 N,-0.2306191629683435,34.15017434647572,1,P1
P2 N,-0.2305651748010083,34.14984060544477,2,P2
P3 NT,-0.2305118841415059,34.14952515230848,3,P3
P4 2W,-0.2301069022439502,34.14946321293478,4,P4
P5 N,-0.2301475941235924,34.14907519854075,5,P5
P6 2W,-0.2301833499287545,34.14868744164504,6,P6
P7 N,-0.2297074605629994,34.14860347402842,7,P7
P8 NT,-0.2292431323679559,34.14852020100049,8,P8
P9 NT,-0.2291143110282815,34.14890684348999,9,P9
P10 N,-0.2287980728641771,34.14884861929203,10,P10
P11 N,-0.2284792603724866,34.1487881448937,11,P11
P12 2W,-0.2289561779363667,34.14929206711335,12,P12
P13 N,-0.2284438645735501,34.14918536117087,13,P13
P14 3W,-0.2293138001441603,34.1479677046706,14,P14
P15 N,-0.2289603108078732,34.14795319179022,15,P15
P16 2W,-0.2287521221817547,34.14794523528041,16,P16
P17 N,-0.2287253191951938,34.14835640656457,17,P17
P18 N,-0.229302506828943,34.14762665718145,18,P18
P19 N,-0.2292895550309108,34.14716483401906,19,P19
P20 4W,-0.2308915965231995,34.14962813497949,20,P20
P21 N,-0.2309853630957418,34.149873640907,21,P21
P22 NT,-0.2311834170006461,34.14961112325554,22,P22
P23  N,-0.2312096498555973,34.14986858269801,23,P23
P24 N,-0.2312316126740188,34.15006953931109,24,P24
P25 N,-0.2313825450686574,34.14961447854466,25,P25
P26 NT,-0.2308823950797584,34.14928847955754,26,P26
P27 N,-0.2311779045959697,34.14929992654837,27,P27
P28 2W,-0.230878163622508,34.14910200173298,28,P28
P29 N,-0.2311561860116167,34.14908195358653,29,P29
P30 N,-0.231355433913206,34.14907041971076,30,P30
P31 NT,-0.2315497437118086,34.14905753335601,31,P31
P32 4W,-0.2315656854025447,34.14929490973227,32,P32
P33 N,-0.2313663715786671,34.14928980577167,33,P33
P34 N,-0.231786995264946,34.14927556924512,34,P34
P35 NT,-0.2315799071761087,34.14954759251547,35,P35
P36 N,-0.2318098214292569,34.14951519300173,36,P36
P37 NT,-0.231594560840405,34.14976765449283,37,P37
P38 N,-0.2318675831655958,34.14978336312719,38,P38
P39 NT,-0.2321153469900489,34.14976332361769,39,P39
P40 N,-0.2321107301864939,34.14996101097201,40,P40
P41 2W,-0.2324172638493423,34.14979448616875,41,P41
P42 N,-0.2324255328403854,34.15010924094591,42,P42
P43 N,-0.2315775653557102,34.14996710779786,43,P43
P44 2W,-0.2315664686167374,34.1501593824027,44,P44
