ID,Latitude,Longitude,number,formatted_ID
E,-0.2192263426217444,34.11406243575397,0,E
E,-0.2198382849014031,34.11566940177746,0,E
E,-0.2174029457818963,34.11396648761324,0,E
E,-0.2218609313599109,34.1147659092462,0,E
E,-0.216441693151331,34.11644066325017,0,E
E,-0.216373572854681,34.11601416780295,0,E
E,-0.2167506270251437,34.11573212926611,0,E
E,-0.2217957773478594,34.11663077497833,0,E
E,-0.214692079906369,34.11461941339556,0,E
E,-0.2201809648714309,34.11714538270744,0,E
E,-0.220866499533265,34.11735883556083,0,E
E,-0.2187677931405818,34.1157935173271,0,E
E,-0.2170244389972544,34.11570106979779,0,E
E,-0.2212126236934669,34.11758199646335,0,E
E,-0.2223245694847994,34.11810613247654,0,E
E,-0.2148062564131793,34.11559469054102,0,E
E,-0.2205386943201045,34.11656415368842,0,E
E,-0.2214530797588143,34.11720149269701,0,E
E,-0.2193573780430601,34.11665783798293,0,E
E,-0.2178178978497868,34.11489393627983,0,E
E,-0.2178302366989735,34.1155159625521,0,E
E,-0.2165522813019181,34.11676950400631,0,E
E,-0.2168960471626992,34.1163377440309,0,E
E,-0.2172133288649174,34.11633704854216,0,E
E,-0.2171206100182911,34.11603687561534,0,E
E,-0.2177110128836421,34.11526470749759,0,E
E,-0.2174242857408517,34.11548994404929,0,E
E,-0.2174992176263305,34.11659682163719,0,E
E,-0.2198674850267497,34.11493579572058,0,E
E,-0.217879149171527,34.11639367817884,0,E
E,-0.2184053820083937,34.11607606840759,0,E
E,-0.2188543533480648,34.11647170966373,0,E
E,-0.2190407688228037,34.11576522655859,0,E
E,-0.2194430409621788,34.11584691762384,0,E
E,-0.2182758980087069,34.11640135010669,0,E
P1 3W,-0.2214293870952292,34.11716357299771,1,P1
P2 NT,-0.2217526318950918,34.11663031897358,2,P2
P3 TERM,-0.2213079418672462,34.11653372505691,3,P3
P4 2W,-0.2223536499878497,34.11687038183936,4,P4
NP5 INT,-0.2222280611394528,34.11745979650544,5,P5
NP6 TERM,-0.2224524798611838,34.11802897980097,6,P6
NP7 TERM,-0.2211625267602974,34.1175637791859,7,P7
P8 NT,-0.2210395617639738,34.11695350299021,8,P8
NP9 TERM,-0.2208437282399236,34.1172950753303,9,P9
P10 INT,-0.2207683314216554,34.1167642478339,10,P10
P11 3W,-0.2205126443278339,34.11658991393502,11,P11
NP12 TERM,-0.2201403579514459,34.11706822909308,12,P12
P13 INT,-0.2203646309843308,34.11614838074036,13,P13
NP14 INT,-0.2199547830450987,34.11560783810852,14,P14
P15 TERM,-0.2198236663071352,34.1149579898258,15,P15
P16 INT,-0.2199853382417724,34.11626053826592,16,P16
NP17 3W,-0.2195485491084643,34.11616091567566,17,P17
P18 TERM,-0.2194398982598934,34.11661589399687,18,P18
P19 INT,-0.2194976190820006,34.11579082107681,19,P19
NP20 TERM,-0.2190969690284473,34.11570593658087,20,P20
P21 3W,-0.2189102258279233,34.11608621760826,21,P21
P22 TERM,-0.218838923532685,34.11575347185354,22,P22
NP23 TERM,-0.2187947842466581,34.11640198621296,23,P23
NP24 NT,-0.2183839481554405,34.11599454257799,24,P24
NP25 TERM,-0.2182662608878434,34.11632582799756,25,P25
NP26 3W,-0.217984851140561,34.1159838596784,26,P26
NP27 INT,-0.2179733333333333,34.11639333333333,27,P27
NP28 TERM,-0.2176054368793758,34.11655967687309,28,P28
P29 NT,-0.2176082986821969,34.11597497213931,29,P29
P30 INT,-0.2174923305746702,34.11542184983244,30,P30
NP31,-0.2177238457135367,34.11528432787284,31,P31
P32 3W,-0.2172141495008382,34.11602034216286,32,P32
P33 TERM,-0.2172935463656405,34.11631241170839,33,P33
NP34 TERM,-0.2171092318144537,34.11567439560324,34,P34
P35 2W,-0.2169293023494812,34.1162638406655,35,P35
NP36 3W,-0.2165216604665471,34.11634884828126,36,P36
P37 TERM,-0.2166484734502956,34.11667707072455,37,P37
NP38 INT,-0.2164387314207503,34.11603786202248,38,P38
NP39 TERM,-0.2167500214785617,34.11580106263134,39,P39
P40 INT,-0.2160805858089919,34.11646439653125,40,P40
P41 N,-0.2155133421529212,34.11662393451427,41,P41
P42 INT,-0.2150894346669842,34.11607381865159,42,P42
P43 INT,-0.2147486816976676,34.1156182204784,43,P43
P44 INT,-0.2146857726857821,34.11503422870292,44,P44
NP45 TERM,-0.2146382575740556,34.11455907537398,45,P45
P46 NT,-0.2179766312250824,34.11544061573465,46,P46
NP47 INT,-0.2179766312614952,34.11485821114943,47,P47
P48 INT,-0.2182650584182376,34.11443111467599,48,P48
NP49 NT,-0.2184878267010656,34.11397566221442,49,P49
NP50 INT,-0.217923632660203,34.11393999523631,50,P50
NP51 TERM,-0.2173945448053367,34.11390051118614,51,P51
NP52 INT,-0.2192691477832036,34.11392299434557,52,P52
NP53 INT,-0.2199736416421873,34.11386901349704,53,P53
NP54 INT,-0.220677859119934,34.11407612495771,54,P54
NP55 INT,-0.2210877768222301,34.11479873751588,55,P55
NP56 TERM,-0.2217933333333334,34.11485833333334,56,P56
